word,total_freq,occur_freq,std,cv
推荐信,9,7,0.09271690458260545,15.51462870015598
大火,9,7,0.09271690458260545,15.51462870015598
此种,9,7,0.09271690458260545,15.51462870015598
免受,9,7,0.09271690458260545,15.51462870015598
工作日,9,7,0.09271690458260545,15.51462870015598
狂歌,9,7,0.09271690458260545,15.51462870015598
哈姆雷特,9,7,0.09271690458260545,15.51462870015598
千古,9,7,0.09271690458260545,15.51462870015598
幼儿园,139,45,1.4315202059651815,15.509852015709088
书法,51,19,0.5251148665628768,15.506333118503774
湿度,10,8,0.10285951086709837,15.490642336585013
夜话,10,8,0.10285951086709837,15.490642336585013
大课,10,8,0.10285951086709837,15.490642336585013
强迫症,10,8,0.10285951086709837,15.490642336585013
中国青年报,10,8,0.10285951086709837,15.490642336585013
一体化,10,8,0.10285951086709837,15.490642336585013
奇观,10,8,0.10285951086709837,15.490642336585013
迸发,10,8,0.10285951086709837,15.490642336585013
程阳,10,7,0.10285951086709837,15.490642336585013
生灵,10,8,0.10285951086709837,15.490642336585013
书页,10,8,0.10285951086709837,15.490642336585013
老大爷,10,8,0.10285951086709837,15.490642336585013
建制,10,8,0.10285951086709837,15.490642336585013
热土,10,7,0.10285951086709837,15.490642336585013
写信给,10,8,0.10285951086709837,15.490642336585013
中西文化,10,8,0.10285951086709837,15.490642336585013
抗日救亡,10,8,0.10285951086709837,15.490642336585013
光学,10,8,0.10285951086709837,15.490642336585013
北海,10,8,0.10285951086709837,15.490642336585013
发短信,10,8,0.10285951086709837,15.490642336585013
主席台,10,7,0.10285951086709837,15.490642336585013
天文,20,13,0.20571902173419673,15.490642336585013
树干,10,8,0.10285951086709837,15.490642336585013
打分,10,8,0.10285951086709837,15.490642336585013
想家,10,8,0.10285951086709837,15.490642336585013
针,10,7,0.10285951086709837,15.490642336585013
呛,10,8,0.10285951086709837,15.490642336585013
杀害,10,8,0.10285951086709837,15.490642336585013
不干,10,8,0.10285951086709837,15.490642336585013
海内外,10,8,0.10285951086709837,15.490642336585013
盒饭,10,8,0.10285951086709837,15.490642336585013
吃法,10,8,0.10285951086709837,15.490642336585013
流行歌曲,10,8,0.10285951086709837,15.490642336585013
凤凰,10,8,0.10285951086709837,15.490642336585013
刚出生,10,8,0.10285951086709837,15.490642336585013
玩法,10,8,0.10285951086709837,15.490642336585013
赌博,10,8,0.10285951086709837,15.490642336585013
休假,10,8,0.10285951086709837,15.490642336585013
外墙,10,8,0.10285951086709837,15.490642336585013
姝,10,8,0.10285951086709837,15.490642336585013
大合唱,10,8,0.10285951086709837,15.490642336585013
